选项ID	选项内容	选项消耗，对应cost.txt		失败概率（万分比），不填就是必成功（强制映射成功提示），填10000就是必失败		成功提示	成功奖励		失败提示	失败奖励(失败一般没奖励，如果填了，也有奖励)							
id	content	cost		failed_rate		success	success_prize		failed	failed_prize							
11	孔子是名人，请他来教书	13000011				经过孔子的传授，你掌握了新的知识	13000011								铜币	君主	13000011
12	书皮质量该不会有问题吧			1000		书皮厂商果然偷工减料，现已缴纳罚款	13000012		经过调查，书皮质量没有问题							铜币	13000012
13	帮孔子定做一套书皮好了	13000013				孔子很感谢你，送给你回礼	13000013								石料	石料	13000013
21	孙武没有错，爱莫能助					孙武得知此事，十分感谢你，送给你一件礼物	13000021									铜币	
22	请孙武喝酒，趁机劝说	13000022				在你的软磨硬泡下，孙武决定放过那些宫女	13000022								铜币	石料	
31	专心讨论为君之道					酒宴顺利结束，你在讨论中获益良多	13000031									君主	
32	派武将去处理			1000		武将把充数者偷偷带走，避免了酒宴被破坏	13000032		充数者不肯承认，说你的武将想勒索自己，齐宣王对你很生气							君主	
33	告诉齐宣王					齐宣王将充数者驱逐，为了感谢你，送上一件礼物	13000033									铜币	
41	请武将担任骑手			1000		武将用精湛的骑术战胜了田忌	13000041		武将在比赛中落马，输掉了比赛							君主	
42	我们也来偷偷调换顺序					你将齐威王的好马换成良马，良马换成劣马，劣马换成好马，大获全胜	13000042									铜币	
43	派士兵处理此事	13000043		1000		你的士兵把田忌、孙膑暴打了一顿，齐威王很开心，送给你一件礼物	13000043		你的士兵只顾着喝酒，把命令忘得一干二净，齐威王对你很失望						铜币	石料	
51	让武将以苏秦为学习榜样			1000		武将听从了你的话，开始奋发努力	13000051		武将们不喜欢苏秦，没有理会你的命令 							君主	
52	身体要紧，以君主的名义批评他					你的做法得到许多父母的认同	13000052									君主	
53	要不，我也试试？					第二天早上，你被医生抬走了	13000053									铜币	
61	孟子不对，罚他去矿场工作					孟子被迫去矿场工作	13000061									石料	
62	训斥杨朱，让他为百姓捐献					杨朱被迫捐献了钱财	13000062									铜币	
63	请他们吃饭，劝他们和解	13000063				酒足饭饱，杨朱、孟子答应了你的要求	13000063								铜币	君主	
71	身为城主，不能乱抓人			1000		你的举动受到武将称赞	13000071		蔡桓公很生气，决定跟你绝交							君主	
72	请扁鹊吃饭，趁机抓起来	13000072				你把扁鹊交给蔡桓公，他给你一件礼物	13000072								铜币	石料	
73	让扁鹊交保护费					扁鹊被迫缴纳了保护费	13000073									铜币	
81	派武将把聂政抓起来			1000		被害者的家属很感谢你，赠给你礼物	13000081		聂政暴打了你的武将，大摇大摆离开							石料	
82	向聂政收取保护费					聂政被迫，交纳了保护费	13000082									铜币	
83	先调查前因后果再决定					你的稳重得到了属下认可	13000083									君主	
91	罚信陵君出门时遮脸					少女们集体抗议，你只好被迫撤销命令	13000091									君主	
92	让信陵君去铁匠铺劳役			1000		信陵君认真工作，完成了一件装备	13000092		信陵君不肯工作，还大闹了铁匠铺							装备	
93	请一名老师好好教导少女	13000093				经过教导，少女们最终醒悟	13000093								铜币	君主	
101	出面劝说平原君			1000		经过一番辩论，你成功说服了平原君	13000101		平原君没有理会，把你赶走							君主	
102	贿赂秦国官员，让他们退兵	13000102				秦国退兵，廉颇送给你礼物，表示感谢	13000102								铜币	石料	
103	趁赵国出兵，派兵劫掠他们					赵国内部空虚，你掠夺了许多资源	13000103									石料	
111	写信提醒楚王			1000		楚王听从了你的建议，十分感谢你	13000111		楚王认为你不懂为君之道，痛骂了你一顿							君主	
112	把江乙抓去矿场					江乙被迫在矿场工作，并表示悔改	13000112									君主	
113	听说昭奚恤有一件装备					昭奚恤被迫献上装备，你出手帮他教训了江乙	13000113									装备	
121	将龙送进马戏团			1000		周围百姓纷纷前来观赏，你大赚了一笔	13000121		百姓们吓得逃走，你什么也没捞着							铜币	
122	花钱把龙的鳞片锻造成装备	13000122				经过铁匠门的日夜兼工，成功锻造出一件装备	13000122								铜币	装备	
123	赶走就好，不要太过分					神龙很感谢你，送给你一件礼物	13000123									物品	
131	花钱请他为武将传授知识	13000131				经过传授，名士们的才学大幅度提升	13000131								铜币	君主	
132	和毛遂辩论一场			1000		经过三个时辰的大战，你最终胜出	13000132		你没有赢过毛遂，大败而归							君主	
141	写信劝说楚王   			1000		楚王听从了你的劝说，并送给你一件礼物	13000141		楚王很生气，没有理会							物品	
142	趁机派兵劫掠	13000142				长驱直入，掠夺了大量资源	13000142								铜币	铜币	
151	抓起来送去农场					孟尝君带领门客认真工作，农场大丰收	13000151									石料	
152	没收孟尝君的财产，驱逐出境					你在孟尝君的财产里发现一件装备	13000152									装备	
153	让孟尝君交保护费			1000		孟尝君被迫交纳了保护费	13000153		孟尝君带人逃走，还大骂了你一顿							铜币	
161	几个破鼎而已，专心农事					农场获得了大丰收	13000161									石料	
162	瓜分九鼎，铸造兵器			1000		你将九鼎运到铁匠铺，工匠们铸成了装备	13000162		你的行为被公开，现在全天下都在指责你							装备	
163	深受王恩，立刻派兵	13000163				周天子很欣赏你，下令褒奖   	13000163								铜币	铜币	
171	我不怕，让我试试			1000		你改了一字，吕不韦很高兴，赠给你千金  	13000171		你改了一字，吕不韦觉得很没面子，让人暴打了你一顿							铜币	
172	身为城主，不能贪小便宜					你的行为得到武将称赞	13000172									君主	
181	买买买，勾践能吃我也能	13000181				武将认为你和勾践一样英明，十分崇拜你	13000181								铜币	君主	
182	那种东西怎么能下咽					商贩认为你没有眼光，生气的离开	13000182									君主	
183	让武将先尝尝					武将吃完后拉肚子，对你很生气	13000183									君主	
191	这是好事，满足他们					百姓们很高兴，献上礼物表示忠心	13000191									铜币	
192	没必要，把他们赶走			1000		你捍卫了君主的威严，百姓对你更加敬重	13000192		百姓们很生气，你被迫道歉，答应了他们的要求							君主	
201	哦？我正好有个盒子					你把盒子卖给了收藏家	13000201									铜币	
202	请他吃饭，讨论一下艺术	13000202				对方很欣赏你的艺术品位，送给你一件礼物	13000202								铜币	石料	
203	那些盒子会不会有什么秘密			1000		经过调查，你得知盒子里有一张藏宝图，你利用它找到了宝藏	13000203		经过调查，那只是普通的盒子							铜币	
211	这是诡辩，是扰乱公务					公孙龙无奈，只好下马，并且缴纳了罚款	13000012									铜币	
212	好像有点道理					公孙龙认为你是他的知己，送给你一件礼物	13000013									石料	
221	苏代说得没错，立刻派兵救他			1000		你成功救出苏代，缴获了一些战利品	13000012		你的部队遭到伏击，大败而归							铜币	
222	救人要有策略，先买通狱卒					狱卒被买通，你成功救出了苏代	13000013									石料	
231	兵不厌诈，楚王应该愿赌服输					晋文公很感谢你，送给你一些礼物	13000013									石料	
232	晋文公做得不对，立刻出兵					我军大获全胜，缴获了战利品	13000012									铜币	
241	庞葱是名士，请他来做客					庞葱感谢你的邀请，离别时送给你一件礼物	13000012									铜币	
242	空穴不来风，庞葱有问题			1000		魏王听说了此事，认为你们可以成为朋友，他送给你一件礼物	13000013		庞葱认为你也很昏聩							石料	
243	先派人调查一下					你发现庞葱是清白的，并将此事告知魏王，庞葱十分感谢你	13000011									君主	
251	可怜的老人，给他请个医生					老人的家人得知此事，对你十分感谢	13000011									君主	
252	这名老人不简单，由他去吧					老人认为你明君，临行前送给你一件礼物	13000013									石料	
261	他说的有道理，请他帮忙规划城池					城池得到快速发展，我们获益良多	13000012									铜币	
262	临淄不是一日建成！他太狂妄了					对方原来是敌城派来的细作，我们从他家里受到一些东西	13000012									铜币	
263	哦，我也想去临淄玩玩			1000		你在临淄玩的很开心，还获得了齐王赠送的礼物	13000013		你在临淄做什么都要排队，根本没有时间游玩							石料	
